run	step	loss	grad_norm	llm_grad_norm	mem_enc_norm	param_norm
specialist512	0	0.0014	0.0377	0.0111	0.0046	1874.8077
specialist512	100	0.0013	0.0233	0.0083	0.0019	1874.8076
specialist512	200	0.001	0.0204	0.007	0.0015	1874.8076
specialist512	300	0.0011	0.0221	0.0077	0.0017	1874.808
specialist512	400	0.0008	0.0185	0.007	0.0017	1874.8086
specialist2048	0	0.0041	0.124	0.0313	0.0087	1874.8077
specialist2048	100	0.0182	0.201	0.1243	0.0284	1874.8076
specialist2048	200	0.0147	0.142	0.0695	0.0146	1874.8077
specialist2048	300	0.015	0.1693	0.1074	0.0243	1874.8086
specialist2048	400	0.0112	0.1564	0.1025	0.0235	1874.8099
